planet_name,planetary_mass,planetary_radius,orbital_period,star_mass,star_radius,star_teff,semi_major_axis,planet_updated,planet_discovered
TOI-640 Ab,279.7858099062928,19.851139,5.0037775,1.536,2.082,6460.0,0.06608,2024-07-28,2021
TOI-6420 b,2607.095046854092,11.209,6.961508,1.165,1.312,6020.0,0.075,2025-09-03,2025
TOI-654 b,8.873661311914354,2.40903828,1.527561,0.42,0.43,3424.0,0.01942,2025-07-23,2024
TOI-663 b,4.45113788487284,2.2698225,2.598902,0.514,0.512,3681.0,0.0295,2024-02-14,2023
TOI-663 c,3.6499330655957287,2.2597344,4.6955507,0.514,0.512,3681.0,0.0437,2024-02-14,2023
TOI-663 d,5.214190093708185,1.9201017,7.1027268,0.514,0.512,3681.0,0.0576,2024-02-18,2023
TOI-6651 b,61.04417670682752,5.0900069,5.056973,1.047,1.802,5818.93,0.0633,2024-08-26,2024
TOI-6695 b,66.76706827309259,9.52765,80.389,1.338,1.517,6400.0,0.402,2025-05-09,2025
TOI-674 b,23.49564926372163,5.260383699999999,1.977143,0.442,0.421,3505.0,0.0231,2025-08-17,2021
TOI-677 b,392.336010709506,13.114529999999998,11.2365985,1.18,1.28,6295.0,0.1038,2024-02-13,2019
TOI-682 b,12.304216867469922,3.7998510000000003,6.8392339,0.85,1.084,5085.0,0.0668,2024-06-26,2021
TOI-6883 Ab,1379.8527443105804,12.184182999999999,16.24921,1.082,1.086,5756.0,0.129,2025-06-11,2024
TOI-6883 Ac,113.50401606425741,8.877528,7.8458,1.082,1.086,5756.0,0.079,2025-06-13,2024
TOI-6894 b,53.413654618474084,9.583694999999999,3.37077196,0.207,0.2276,2960.0,0.02604,2025-06-04,2022
TOI-699 b,6.422356091030812,2.4480456,14.801,1.179,1.419,6139.0,0.125,2025-12-02,2019
TOI-699 c,6.772088353413678,2.30501876,33.634,1.179,1.419,6139.0,0.215,2025-12-02,2019
TOI-700 b,1.2908299866131236,0.91398186,9.977219,0.416,0.42,3480.0,0.0677,2023-01-12,2020
TOI-700 c,2.5117135207496744,2.600488,16.051137,0.416,0.42,3480.0,0.0929,2025-07-14,2020
TOI-700 d,2.416331994645256,1.0730375699999999,37.42396,0.416,0.42,3480.0,0.1633,2025-07-14,2020
TOI-7041 b,114.4578313253016,11.43318,9.691,1.07,4.1,4700.0,0.091,2024-10-22,2024
TOI-712 b,5.5957161981258565,2.0490052,9.531361,0.732,0.674,4622.0,0.07928,2021-11-05,2021
TOI-712 c,8.711512717536843,2.7013689999999997,51.69906,0.732,0.674,4622.0,0.2447,2021-11-05,2021
TOI-712 d,7.503346720214216,2.47405048,84.8396,0.732,0.674,4622.0,0.3405,2021-11-05,2021
TOI-7149 b,224.14658634538227,13.226619999999999,2.65206166,0.344,0.351,3363.0,0.026,2025-06-24,2025
TOI-7166 b,6.390562248996006,2.3897588,12.920616,0.221,0.245,3092.0,0.0503,2025-12-09,2025
TOI-733 b,5.722891566265079,1.9895975,4.884765,0.956,0.95,5585.0,0.0618,2024-04-16,2023
TOI-7510 b,18.09069611780461,7.297059,11.530869,1.02,1.02,5820.0,0.102,2025-11-26,2025
TOI-7510 c,130.3547523427046,10.805475999999999,22.5687423,1.02,1.02,5820.0,0.1595,2025-11-26,2025
TOI-7510 d,178.04551539491362,10.53646,48.864468,1.02,1.02,5820.0,0.2672,2025-11-26,2025
TOI-756 Ab,9.833835341365495,2.8100962999999997,1.2392495,0.505,0.505,3657.0,0.018,2025-10-15,2025
TOI-757 b,10.491967871485981,2.499607,17.46819,0.8,0.773,5278.0,0.122,2024-07-31,2024
TOI-762 Ab,79.80254350736305,8.339496,3.4716826,0.442,0.425,3266.0,0.03418,2025-02-11,2024
TOI-763 Ab,9.792503346720249,2.2799106,5.6057,0.917,0.897,5450.0,0.06,2024-07-30,2020
TOI-763 Ac,9.321954484605119,2.6296314,12.2737,0.917,0.897,5450.0,0.1,2024-07-30,2020
TOI-771 b,2.470381526104426,1.3596517,2.3260155,0.22,0.242,3201.0,0.0208,2025-04-28,2023
TOI-776 b,4.660977242302559,1.849485,8.24664,0.544,0.538,3709.0,0.0652,2025-02-13,2020
TOI-776 c,6.899263721552902,2.0501261,15.665323,0.544,0.538,3709.0,0.1,2025-03-03,2020
TOI-778 b,890.2275769745679,15.401166,4.633611,1.4,1.71,6875.0,0.06,2022-12-19,2022
TOI-782 b,19.108099062918406,2.7339871899999997,8.0240015,0.397,0.413,3370.0,0.0578,2024-05-22,2024
TOI-784 b,9.674866131191465,1.9301898,2.7970365,0.91,0.907,5558.0,0.038,2023-06-27,2023
TOI-815 Ab,7.598728246318634,2.9401206999999996,11.197259,0.776,0.77,4869.0,0.0903,2025-02-11,2024
TOI-815 Ac,23.49564926372163,2.6195432999999997,34.976145,0.776,0.77,4869.0,0.193,2025-02-11,2024
TOI-824 b,18.47349397590368,2.9259973599999998,1.392978,0.69,0.68,4616.0,0.02177,2020-08-28,2020
TOI-833 Ab,1.90763052208836,1.2699797,1.04318777,0.61,0.6,3920.0,0.0171,2025-08-01,2022
TOI-836 b,4.530622489959855,1.7039921799999997,3.81673,0.678,0.665,4552.0,0.0422,2022-08-16,2022
TOI-836 c,9.601740294511412,2.5870372,8.59545,0.678,0.665,4552.0,0.075,2022-08-16,2022
TOI-837 Ab,125.58567603748371,9.157753,8.3249114,1.15,1.0,6104.0,0.0883,2025-03-04,2020
TOI-849 b,41.80890227576989,3.4440773399999998,0.765548,0.929,0.919,5375.3,0.0155,2024-05-29,2020
TOI-858 Bb,349.732262382866,14.067294999999998,3.2797178,1.08,1.3,5842.0,0.04445,2025-08-01,2023
TOI-871 b,3.81526104417672,1.6600529,14.362565,0.758,0.719,4929.0,0.1054,2023-11-02,2023
TOI-880 Ab,3.115796519410988,2.1902386,2.57571,0.87,0.83,5050.0,0.0349,2025-07-23,2024
TOI-880 Ac,22.7961847389559,4.9498944,6.3872703,0.87,0.83,5050.0,0.0635,2025-07-23,2025
TOI-880 Ad,13.099062918340072,3.396327,14.33201,0.87,0.83,5050.0,0.1098,2025-07-23,2025
TOI-892 b,302.04149933065696,11.99363,10.62656,1.28,1.39,6261.0,0.092,2024-09-06,2020
TOI-905 Ab,212.06492637215604,13.125739,3.739494,0.85,1.14,5300.0,0.04666,2025-02-11,2019
TOI-908 b,16.14268741633205,3.1860461599999996,3.183792,0.95,1.028,5626.0,0.041657,2023-06-19,2022
TOI-912 b,5.08701472556896,1.9301898,4.6780691,0.418,0.419,3572.0,0.041,2025-09-19,2025
TOI-942 b,826.321954484608,4.8097819,4.32419,0.88,0.893,4969.0,0.04796,2024-11-29,2021
TOI-942 c,795.163989290498,5.790569399999999,10.15643,0.88,0.893,4969.0,0.0847,2021-03-26,2020
TOI-954 Ab,55.32128514056244,9.550068,3.6849729,1.201,1.892,5710.0,0.04963,2024-08-01,2020
TOI-969 b,9.093038821954515,2.76503612,1.8237305,0.734,0.671,4435.0,0.02636,2022-10-18,2022
TRAPPIST-1 b,0.858433734939762,1.08604001,1.51087081,0.08,0.117,2560.0,0.01111,2024-03-24,2016
TRAPPIST-1 c,1.3798527443105804,1.05599989,2.4218233,0.08,0.117,2560.0,0.01521,2023-06-20,2016
TRAPPIST-1 d,0.413319946452478,0.7723001,4.04961,0.08,0.117,2560.0,0.02144,2022-11-23,2016
TRAPPIST-1 e,0.63587684069612,0.9180171,6.099615,0.08,0.117,2560.0,0.02817,2024-12-25,2017
TRAPPIST-1 f,0.6676706827309259,1.0450150699999998,9.20669,0.08,0.117,2560.0,0.0371,2024-12-25,2017
TRAPPIST-1 g,1.341700133868813,1.1265045,12.35294,0.08,0.117,2560.0,0.0451,2024-12-25,2017
TRAPPIST-1 h,0.3309738955823305,0.7554866,20.0,0.08,0.117,2560.0,0.063,2019-07-24,2017
TrES-1 Ab,241.95113788487365,12.318691,3.0300722,0.896,0.857,5242.82,0.0393,2024-08-02,2004
TrES-2 Ab,398.37684069611913,13.327501,2.4706133738,0.98,1.0,5850.0,0.03555,2024-07-29,2006
TrES-3 b,607.2623828647945,14.627744999999999,1.30618608,0.924,0.813,5720.0,0.0226,2022-09-13,2007
TrES-4 Ab,291.549531459171,19.122553999999997,3.5539268,1.388,1.798,6200.0,0.05084,2024-07-31,2007
TrES-5 b,565.2945113788506,13.551681,1.4822446,0.893,0.866,5171.0,0.02446,2018-10-29,2011
WASP-100 Ab,645.4149933065618,18.94321,2.849375,1.44,1.774,6733.0,0.0457,2024-08-01,2013
WASP-101 b,158.96921017403,15.244240000000001,3.5857076,1.34,1.29,6400.0,0.0496,2024-08-02,2013
WASP-102 b,197.43975903614526,14.90797,2.709813,1.08,1.375,5990.0,0.041,2025-04-14,2016
WASP-103 b,473.72824631860937,17.127352,0.925542,1.22,1.436,6110.0,0.01985,2024-04-04,2014
WASP-104 Ab,404.4176706827323,12.744633,1.7554137,1.02,0.93,5450.0,0.02918,2024-08-01,2014
WASP-105 b,572.289156626508,10.760639999999999,7.87288,0.89,0.9,5070.0,0.075,2024-04-05,2017
WASP-106 b,612.0314591700155,12.161764999999999,9.289715,1.27,1.85,6000.0,0.0917,2023-08-15,2014
WASP-107 b,38.152610441767195,10.53646,5.72149,0.69,0.66,4430.0,0.055,2025-08-05,2017
WASP-108 Ab,371.034136546186,13.618935,2.6755463,1.167,1.215,6000.0,0.0397,2024-08-01,2014
WASP-109 b,289.3239625167346,16.174587,3.3190233,1.203,1.346,6520.0,0.0463,2016-01-10,2014
WASP-10 b,1004.6854082998697,12.10572,3.0927616,0.71,0.783,4675.0,0.0371,2014-05-30,2008
WASP-110 b,163.7382864792509,13.876742,3.7783977,0.892,0.881,5400.0,0.0457,2014-10-29,2014
WASP-111 Ab,588.1860776439111,16.163377999999998,2.310965,1.336,1.954,6510.0,0.03914,2024-08-04,2014
WASP-112 b,279.7858099062928,13.349919,3.0353992,0.807,1.002,5610.0,0.0382,2022-10-31,2014
WASP-113 Ab,151.02074966532848,15.793481,4.54216874538,1.318,1.608,5890.0,0.05885,2024-08-01,2016
WASP-114 Ab,562.4330655957181,15.008851,1.5487743,1.289,1.43,5940.0,0.02851,2024-08-04,2016
WASP-116 b,203.4805890227584,13.67498,6.6132,1.25,1.426,6250.0,0.065,2025-04-14,2014
WASP-117 b,95.381526104418,10.98482,10.020593,1.126,1.17,6040.0,0.0714,2024-07-31,2014
WASP-118 Ab,163.42034805890285,16.14096,4.0460435,1.29,1.81,6404.0,0.05453,2024-07-31,2016
WASP-119 b,391.0642570281138,15.692599999999999,2.49979,1.02,1.2,5650.0,0.0363,2022-10-31,2016
WASP-120 Ab,1608.7684069611835,16.981634999999997,3.6112706,1.36,1.684,6572.0,0.0522,2024-08-01,2015
WASP-121 b,376.43908969210304,20.904785,1.2749255,1.353,1.458,6460.0,0.02544,2025-08-12,2015
WASP-122 Ab,445.4317269076321,20.086528,1.7100567,1.06,1.508,5875.0,0.03107,2024-07-28,2015
WASP-123 Ab,292.50334672021523,14.874343,2.977641,1.025,1.22,5737.0,0.0431,2024-08-03,2015
WASP-124 b,190.763052208836,13.89916,3.37265,1.07,1.02,6050.0,0.0499,2022-10-31,2016
WASP-126 b,90.32630522088385,10.760639999999999,3.2888,1.12,1.27,5800.0,0.0449,2022-10-31,2016
WASP-127 Ab,54.049531459170204,14.493236999999999,4.17806348,1.05,1.347,5828.0,0.0495,2024-10-06,2016
WASP-129 Ab,317.93842034806,10.42437,5.748145,1.0,0.9,5900.0,0.0628,2025-09-09,2016
WASP-12 Ab,467.3694779116482,21.297099999999997,1.09141937,1.434,1.657,6360.0,0.02344,2024-07-29,2008
WASP-130 Ab,391.0642570281138,9.97601,11.55098,1.04,0.96,5625.0,0.1012,2024-07-28,2016
WASP-131 Ab,85.8433734939762,13.338709999999999,5.3220096,1.06,1.53,6030.0,0.0602,2024-08-15,2016
WASP-132 b,136.07764390896966,10.099309,7.1335164,0.789,0.758,4686.0,0.067,2024-06-25,2016
WASP-132 c,6.263386880856782,1.8409661599999998,1.01153624,0.789,0.758,4686.0,0.01833,2024-06-25,2022
WASP-133 b,368.80856760374957,13.56289,2.176423,1.16,1.44,5700.0,0.0345,2016-02-05,2016
WASP-134 b,448.9290495314607,11.074492,10.1467583,1.131,1.16,5700.0,0.0956,2024-12-27,2018
WASP-135 b,604.0829986613139,14.5717,1.4013776,0.98,0.96,5680.0,0.0243,2025-11-11,2015
WASP-136 Ab,480.0870147255706,15.468419999999998,5.215357,1.13,2.39,6067.2,0.0661,2024-10-06,2016
WASP-137 Ab,216.51606425702886,14.23543,3.9080284,1.216,1.65,6100.0,0.0519,2024-07-31,2018
WASP-139 Ab,37.198795180723025,8.9672,5.924262,0.87,0.846,5151.0,0.062,2024-08-01,2016
WASP-140 Ab,775.7697456492664,16.14096,2.2359835,0.9,0.87,5260.0,0.0323,2024-08-01,2016
WASP-141 b,855.2543507362814,13.56289,3.310651,1.25,1.37,5900.0,0.0469,2016-07-11,2016
WASP-142 b,267.06827309237036,17.14977,2.052868,1.33,1.64,6010.0,0.0347,2016-07-11,2016
WASP-143 b,230.5053547523435,13.831906,3.778873,1.087,1.0,5900.0,0.049,2024-11-29,2018
WASP-144 b,139.8929049531464,9.52765,2.2783152,0.81,0.81,4950.0,0.0316,2018-03-16,2018
WASP-145 Ab,282.9651941097734,10.0881,1.7690381,0.76,0.68,4900.0,0.0261,2024-08-04,2018
WASP-146 b,352.91164658634665,13.764652,3.396944,1.057,1.29,6100.0,0.0451,2024-10-10,2018
WASP-147 b,87.4330655957165,12.498035,4.60273,1.044,1.429,5702.0,0.0549,2018-07-22,2018
WASP-148 b,91.24832663989321,8.474003999999999,8.80345,1.0,1.03,5460.0,0.08215,2024-09-06,2020
WASP-149 b,315.07697456492747,15.244240000000001,1.332813,1.05,1.08,5750.0,0.024,2025-04-14,2014
WASP-14 Ab,2333.9859437751084,14.358728999999999,2.2437661,1.211,1.306,6475.0,0.036,2024-07-31,2008
WASP-150 b,2689.7590361445878,11.99363,5.644207,1.346,1.706,6093.0,0.0694,2020-04-18,2020
WASP-151 b,98.5609103078986,12.66617,4.533471,1.077,1.14,5871.0,0.055,2017-11-06,2017
WASP-153 Ab,123.9959839357434,17.37395,3.332609,1.336,1.73,5914.0,0.048,2024-08-02,2017
WASP-154 b,199.02945113788556,10.760639999999999,3.811678,0.8,0.823,4774.0,0.044,2025-04-14,2025
WASP-155 b,276.9243641231603,13.4508,3.110413,1.09,1.24,5660.0,0.043,2025-04-14,2023
WASP-156 b,41.427376171352215,6.209786,3.8361623,0.842,0.76,4910.0,0.0451,2024-05-26,2017
WASP-157 b,183.13253012048253,11.186582,3.951623,1.06,1.1,5772.0,0.0499,2021-02-05,2016
WASP-159 b,174.866131191433,15.468419999999998,3.840401,1.41,2.11,6000.0,0.0538,2019-03-04,2018
WASP-15 b,172.32262382864852,16.006452,3.7520656,1.18,1.477,6300.0,0.0499,2013-06-18,2008
WASP-160 Bb,89.34069611780487,12.251437,3.768495,0.89,0.872,5302.0,0.0455,2024-08-01,2018
WASP-161 b,791.6666666666695,12.811887,5.4060425,1.39,1.712,6406.0,0.0673,2018-07-18,2018
WASP-162 b,1653.279785809912,11.209,9.62468,0.95,1.11,5300.0,0.0871,2018-05-15,2018
WASP-163 Ab,594.5448460508723,13.473218,1.6096884,1.318,1.146,6472.0,0.0266,2024-08-02,2018
WASP-164 b,677.2088353413677,12.643752,1.7771255,0.946,0.932,5806.0,0.02818,2018-07-22,2018
WASP-165 b,209.20348058902348,14.123339999999999,3.465509,1.248,1.75,5599.0,0.04823,2018-07-22,2018
WASP-166 b,32.42971887550212,6.8991395,5.44354215,1.19,1.22,6050.0,0.0668,2022-07-22,2018
WASP-167 b,117.63721552878219,18.15858,2.0219583,1.518,1.756,7043.0,0.0365,2024-03-29,2017
WASP-168 Ab,133.53413654618518,16.813499999999998,4.153658,1.08,1.12,6000.0,0.0519,2024-08-01,2018
WASP-169 b,178.36345381526166,14.616536,5.6114118,1.337,2.011,6110.0,0.0681,2019-04-24,2019
WASP-16 b,271.8373493975913,11.298672,3.1186009,1.022,0.946,5550.0,0.0421,2013-06-18,2009
WASP-170 Ab,508.701472556896,12.285064,2.34478022,0.93,0.938,5593.0,0.0337,2024-08-01,2018
WASP-171 b,344.64524765729703,11.074492,3.8186244,1.171,1.637,5965.0,0.0504,2019-04-24,2019
WASP-172 b,149.43105756358818,17.59813,5.477433,1.49,1.91,6900.0,0.0694,2024-09-06,2018
WASP-175 Ab,314.7590361445794,13.540472,3.0652907,1.212,1.204,6229.0,0.044,2024-07-31,2019
WASP-176 b,271.8373493975913,16.869545,3.899052,1.27,1.945,5902.0,0.0535,2020-04-15,2020
WASP-177 b,161.51271753681448,17.71022,3.071722,0.876,0.885,5017.0,0.03957,2019-03-21,2019
WASP-178 b,448.29317269076455,21.745459999999998,3.3448285,1.93,1.801,8640.0,0.0558,2022-04-06,2019
WASP-17 b,154.51807228915715,22.317119,3.735438,1.2,1.38,6650.0,0.0515,2025-07-28,2009
WASP-180 Ab,254.350736278448,14.45961,3.409265,1.3,1.19,6600.0,0.048,2024-08-01,2019
WASP-181 b,95.06358768406993,13.271455999999999,4.5195064,1.04,0.965,5839.0,0.05427,2019-03-15,2019
WASP-182 b,47.05488621151288,9.52765,3.3769848,1.076,1.34,5638.0,0.0451,2019-04-24,2019
WASP-183 b,159.6050870147261,16.47723,4.1117771,0.784,0.871,5313.0,0.04632,2019-03-15,2019
WASP-184 b,181.2248995983942,14.90797,5.1817,1.23,1.65,6000.0,0.0627,2019-10-28,2019
WASP-186 b,1341.700133868813,12.44199,5.026799,1.22,1.47,6361.0,0.06,2024-09-06,2019
WASP-187 b,254.350736278448,19.795094,5.147882,1.54,2.83,6150.0,0.0671,2024-08-02,2020
WASP-188 Ab,458.7851405622506,14.818298,5.748916,1.5,1.83,6850.0,0.072,2025-04-14,2025
WASP-189 Ab,632.6974564926394,18.147371,2.724033,1.887,2.33,7996.0,0.05053,2024-07-31,2018
WASP-18 Ab,3315.9705488621266,13.058485,0.9414518,1.24,1.23,6400.0,0.02047,2024-08-01,2009
WASP-190 b,317.93842034806,12.890349999999998,5.367753,1.35,1.6,6400.0,0.0663,2020-03-08,2018
WASP-193 Ab,44.19344042838034,16.409976,6.2463345,1.12,1.225,6076.0,0.0676,2024-08-19,2023
WASP-194 Ab,373.2597054886224,15.479629,3.183387,1.29,1.409,6405.0,0.047,2025-04-14,2021
WASP-195 b,33.06559571619824,10.31228,5.051928,1.3,1.578,6300.0,0.063,2025-04-14,2025
WASP-197 b,403.4638554216881,14.448400999999999,5.167228,1.36,2.112,6050.0,0.065,2025-04-14,2025
WASP-19 Ab,362.13186077644036,15.804689999999999,0.78884,0.904,1.004,5500.0,0.016634,2025-07-22,2009
WASP-1 Ab,301.0876840696128,16.970426,2.5199448,1.153,1.564,6116.0,0.03958,2024-07-31,2006
WASP-20 Ab,99.51472556894278,16.353931,4.8996285,1.202,1.392,5950.0,0.06003,2024-07-28,2011
WASP-21 b,95.381526104418,13.56289,4.3225126,1.01,1.06,5800.0,0.052,2022-05-04,2010
WASP-22 b,196.168005354753,13.439591,3.5327313,1.1,1.13,6000.0,0.04698,2015-12-18,2010
WASP-23 b,281.057563587685,10.783057999999999,2.9444256,0.78,0.765,5150.0,0.0376,2025-02-19,2010
WASP-24 Ab,340.5120481927722,14.5717,2.3412127,1.129,1.147,6075.0,0.03651,2024-08-01,2010
WASP-25 b,184.40428380187478,14.123339999999999,3.76483,1.0,0.95,5750.0,0.0474,2014-07-24,2010
WASP-26 Ab,326.8406961178057,14.358728999999999,2.7566004,1.12,1.34,5950.0,0.03985,2024-09-06,2010
WASP-28 b,288.3701472556904,13.596517,3.40883,1.021,1.094,6150.0,0.04469,2019-06-13,2010
WASP-29 Ab,77.25903614457857,8.686975,3.92271218,0.825,0.846,4800.0,0.047,2024-08-05,2010
WASP-2 Ab,269.2938420348068,12.094510999999999,2.15222144,0.84,0.834,5150.0,0.03138,2024-07-28,2006
WASP-31 b,151.97456492637266,17.228233,3.405909,1.16,1.24,6200.0,0.04657,2023-07-28,2010
WASP-32 b,1144.578313253016,13.226619999999999,2.71865,1.1,1.11,6100.0,0.0394,2010-10-10,2010
WASP-33 Ab,890.2275769745679,17.968027,1.21986967,1.495,1.444,7400.0,0.02558,2024-08-01,2010
WASP-34 b,184.40428380187478,14.123339999999999,4.31768509,1.01,0.93,5700.0,0.0545,2024-08-01,2010
WASP-36 Ab,724.5816599732287,14.224220999999998,1.5373653,1.02,0.943,5881.0,0.02624,2024-08-01,2010
WASP-37 b,572.289156626508,13.002439999999998,3.577471,0.849,0.977,5800.0,0.04339,2018-12-17,2010
WASP-38 b,862.2489959839388,12.094510999999999,6.871815,1.216,1.365,6150.0,0.07551,2012-04-07,2010
WASP-39 b,89.02275769745681,14.23543,4.055259,0.93,0.895,5400.0,0.0486,2023-05-18,2011
WASP-3 Ab,575.4685408299886,15.602927999999999,1.8468354,1.26,1.36,6352.0,0.0313,2024-09-25,2007
WASP-41 b,298.86211512717637,13.226619999999999,3.052404,0.95,1.01,5450.0,0.04,2015-09-28,2010
WASP-43 b,652.4096385542191,11.612524,0.81347753,0.717,0.667,4520.0,0.01526,2023-08-28,2011
WASP-44 b,282.6472556894253,12.778259999999998,2.4238039,0.951,0.927,5410.0,0.03473,2013-01-16,2011
WASP-45 Ab,320.1639892904964,13.002439999999998,3.1260876,0.909,0.945,5140.0,0.04054,2024-08-01,2011
WASP-46 b,667.9886211512741,14.68379,1.43037,0.956,0.917,5620.0,0.02448,2022-10-31,2011
WASP-47 b,363.22238955823417,12.632543,4.1591289,1.04,1.14,5552.0,0.052,2021-02-05,2012
WASP-47 d,13.105421686747032,3.575671,9.03077,1.04,1.14,5552.0,0.088,2021-02-05,2015
WASP-47 e,6.832496653279809,1.804649,0.789592,1.04,1.14,5552.0,0.0173,2021-02-05,2015
WASP-48 b,311.5796519410988,18.71903,2.143634,1.19,1.75,5990.0,0.03444,2024-08-06,2011
WASP-49 Ab,126.85742971887595,13.428382,2.7817387,0.989,1.02,5597.0,0.03873,2024-07-31,2011
WASP-4 b,380.69946452476705,15.5199814,1.338231602,0.93,1.15,5500.0,0.02312,2020-04-21,2007
WASP-50 b,456.87751004016224,12.755841999999998,1.9550959,0.861,0.855,5400.0,0.02913,2024-09-06,2011
WASP-52 b,146.25167336010762,14.23543,1.74977083,0.87,0.79,5000.0,0.0272,2023-04-24,2011
WASP-53 b,677.844712182064,12.038466,3.3098443,0.839,0.798,4953.0,0.04101,2021-07-27,2011
WASP-54 Ab,200.30120481927779,17.59813,3.6935995,1.145,1.78,6097.47,0.053,2024-08-05,2011
WASP-55 Ab,193.9424364123166,14.90797,4.46563,1.11,1.09,5900.0,0.0533,2024-08-01,2012
WASP-56 Ab,190.44511378848793,12.240228,4.617101,1.04,1.113,5797.0,0.05614,2024-07-31,2011
WASP-58 Ab,282.9651941097734,15.35633,5.01718,0.94,1.17,5800.0,0.0561,2024-07-31,2011
WASP-59 Ab,274.38085676037576,8.686975,7.919585,0.719,0.613,4650.0,0.0697,2024-09-06,2011
WASP-5 b,520.4651941097742,13.125739,1.6284246,1.0,1.084,5700.0,0.02729,2022-04-05,2007
WASP-60 b,163.42034805890285,9.63974,4.3050011,1.078,1.14,5900.0,0.0531,2024-10-30,2011
WASP-61 b,654.9531459170036,13.89916,3.8559,1.22,1.36,6250.0,0.0514,2012-04-23,2011
WASP-62 b,184.40428380187478,15.580509999999999,4.41193811,1.25,1.28,6230.0,0.0581,2024-08-01,2011
WASP-63 b,120.8165997322628,16.028869999999998,4.37809,1.32,1.88,5550.0,0.0574,2013-03-22,2011
WASP-64 Bb,388.20281124498126,14.246638999999998,1.5732918,1.0,1.0954,5652.0,0.02648,2024-08-04,2011
WASP-66 b,737.6171352074991,15.580509999999999,4.086052,1.3,1.75,6600.0,0.0546,2016-03-21,2011
WASP-67 b,133.53413654618518,15.692599999999999,4.61442,0.87,0.87,5200.0,0.0517,2012-04-23,2011
WASP-68 Ab,302.04149933065696,13.89916,5.084298,1.011,1.74,5692.5,0.06206,2024-08-04,2011
WASP-69 b,82.6639892904956,11.847912999999998,3.8681382,0.826,0.813,4715.0,0.04525,2023-03-25,2011
WASP-6 b,159.92302543507418,13.719816,3.361006,0.888,0.87,5450.0,0.0421,2019-12-03,2008
WASP-70 Ab,187.58366800535538,13.047275999999998,3.7130203,1.106,1.215,5763.0,0.04853,2024-08-04,2011
WASP-71 Ab,717.9049531459194,16.813499999999998,2.9036747,1.572,2.32,6050.0,0.04631,2024-08-19,2012
WASP-72 Ab,459.73895582329476,14.23543,2.2167421,1.03,2.66,5773.47,0.03711,2024-07-31,2013
WASP-73 b,600.9036144578333,13.114529999999998,4.087298,1.34,2.07,6030.0,0.049,2024-08-05,2013
WASP-74 b,262.61713520749754,13.988832,2.13775138,1.48,1.64,5970.0,0.03443,2021-12-24,2014
WASP-75 Ab,340.1941097724242,14.23543,2.484193,1.14,1.26,6100.0,0.0375,2024-08-04,2013
WASP-76 Ab,292.50334672021523,20.51247,1.809886,1.46,1.73,6250.0,0.033,2024-09-23,2013
WASP-77 Ab,559.2536813922375,13.56289,1.3600288,1.002,0.955,5500.0,0.02345,2024-08-02,2012
WASP-78 b,282.9651941097734,19.0553,2.17517656,2.02,2.31,6100.0,0.0415,2019-06-14,2012
WASP-79 b,265.47858099063006,17.71022,3.66239094,1.56,1.64,6600.0,0.05014,2024-07-31,2012
WASP-7 b,305.22088353413756,14.90797,4.9546416,1.276,1.432,6400.0,0.0617,2012-09-20,2008
WASP-80 b,176.13788487282525,10.670967999999998,3.0678504,0.58,0.63,4145.0,0.0346,2023-11-23,2013
WASP-81 b,231.77710843373572,16.017661,2.7164762,1.08,1.283,5870.0,0.03908,2021-07-27,2016
WASP-82 b,394.2436412315944,18.27067,2.705789,1.63,2.18,6500.0,0.0448,2024-07-31,2013
WASP-83 b,95.381526104418,11.65736,4.071252,1.11,1.05,5480.0,0.059,2015-07-27,2014
WASP-84 b,220.0133868808575,10.7202876,8.5234964,0.842,0.748,5314.0,0.0778,2023-05-17,2013
WASP-84 c,15.197456492637269,1.9503659999999998,1.4468849,0.842,0.748,5314.0,0.02359,2023-05-17,2023
WASP-85 Ab,402.19210174029587,13.89916,2.6556777,1.09,0.935,6112.0,0.039,2024-07-31,2016
WASP-87 Ab,702.6439089692126,15.524465,1.682795,1.204,1.627,6450.0,0.02946,2024-08-01,2014
WASP-88 b,178.04551539491362,19.0553,4.954,1.45,2.08,6431.0,0.06431,2014-05-26,2013
WASP-89 b,1875.8366800535541,11.65736,3.3564227,0.92,0.88,4955.0,0.0427,2015-04-06,2014
WASP-8 Ab,713.4538152610467,11.634942,8.158715,1.033,0.953,5600.0,0.0801,2024-08-04,2008
WASP-90 b,200.30120481927779,18.27067,3.916243,1.55,1.98,6430.0,0.0562,2014-05-21,2013
WASP-91 b,426.03748326640044,11.54527,2.798581,0.84,0.86,4920.0,0.037,2022-10-31,2017
WASP-92 b,255.9404283801883,16.376349,2.1746742,1.19,1.341,6280.0,0.0348,2017-06-25,2016
WASP-93 b,467.3694779116482,17.900772999999997,2.7325321,1.3,1.06,6700.0,0.04211,2025-03-12,2016
WASP-94 Ab,143.7081659973231,18.662985,3.95020219,1.29,1.36,6170.0,0.055,2024-07-31,2014
WASP-95 b,383.4337349397603,12.307482,2.1846656,1.11,1.13,5630.0,0.0312,2022-10-31,2013
WASP-96 b,152.61044176706878,13.4508,3.4252602,1.06,1.05,5540.0,0.0453,2023-07-20,2013
WASP-97 b,419.6787148594392,12.66617,2.07276,1.12,1.06,5640.0,0.03303,2014-05-28,2013
WASP-98 Ab,263.88888888888977,12.3299,2.96264,0.97,0.718,5526.0,0.036,2024-08-01,2013
