planet_name,planetary_mass,planetary_radius,orbital_period,star_mass,star_radius,star_teff,semi_major_axis,planet_updated,planet_discovered
TOI-1268 b,92.20214190093739,9.191379999999999,8.1577094,0.96,0.92,5200.0,0.072,2023-07-20,2022
TOI-1273 b,70.58232931726931,11.09691,4.631296,1.06,1.06,5690.0,0.0549,2024-02-13,2024
TOI-1279 b,10.619143239625204,2.6598957,9.614216,0.96,0.84,5477.0,0.0847,2024-05-30,2023
TOI-1288 b,41.967871485943924,5.2402075,2.6998,0.89,1.01,5225.0,0.0429,2024-06-29,2019
TOI-1294 b,62.22054886211534,9.190259099999999,3.91529,1.02,1.581,5714.0,0.0489,2024-06-26,2024
TOI-1295 b,451.47255689424514,15.692599999999999,3.1968838,1.32,1.74,6269.0,0.047,2024-12-13,2024
TOI-1298 b,113.18607764390936,9.426769,4.537164,1.44,1.412,5889.0,0.059,2021-07-15,2021
TOI-132 Ab,22.414658634538227,3.4198658999999996,2.1097019,0.97,0.9,5397.0,0.026,2024-08-04,2019
TOI-1333 Ab,753.5140562249022,15.647763999999999,4.720219,1.464,1.925,6274.0,0.0626,2024-08-04,2021
TOI-1347 b,12.208835341365502,1.804649,0.847423431,0.913,0.83,5464.0,0.0171,2024-06-09,2024
TOI-1408 b,593.27309236948,24.99607,4.42587,1.31,1.53,6117.0,0.05778,2025-08-03,2023
TOI-1408 c,7.598728246318634,2.2205029,2.1664,1.31,1.53,6117.0,0.03587,2025-08-03,2024
TOI-1410 Ab,12.494979919678759,3.104893,1.21687,0.71,0.78,4507.0,0.0207,2025-08-03,2024
TOI-1411 Ab,2.003012048192778,1.3596517,1.4520358,0.59,0.66,4266.0,0.02122,2024-07-27,2022
TOI-1416 b,3.481425702811257,1.6197004999999998,1.0697564,0.798,0.793,4884.0,0.019,2023-05-31,2023
TOI-1420 b,25.11713520749674,11.8905072,6.9561063,0.987,0.923,5493.0,0.071,2023-09-19,2023
TOI-1422 b,9.506358768406994,3.8301153,12.99894,0.981,1.019,5840.0,0.107,2025-11-17,2022
TOI-1422 c,13.98929049531464,2.6105761,34.5633,0.981,1.019,5840.0,0.205,2025-11-17,2022
TOI-1430 b,4.152275769745664,1.9795094,7.4341325,0.843,0.789,5037.0,0.0706,2024-11-21,2022
TOI-1431 b,998.3266398929084,16.903171999999998,2.65022,1.9,1.92,7690.0,0.047,2023-06-29,2021
TOI-1439 b,38.50234270415007,3.6496504,27.644,1.0,1.62,5873.0,0.192,2024-06-13,2024
TOI-1442 b,1.5896921017403,1.1702196,0.41,0.29,0.31,3330.0,0.0071,2022-09-16,2022
TOI-1443 b,29.88621151271764,2.196964,23.540678,0.89,0.75,5236.0,0.147,2024-06-22,2024
TOI-1448 b,19.521419009370884,2.7495676999999996,8.112245,0.37,0.38,3412.0,0.0567,2024-06-14,2024
TOI-1451 b,15.197456492637269,2.6105761,16.537944,1.04,1.028,5800.0,0.127,2024-07-29,2024
TOI-1452 Ab,4.82312583668007,1.6720465299999998,11.06201,0.249,0.275,3185.0,0.061,2024-07-28,2022
TOI-1467 b,8.90227576974568,1.8304297,5.97199,0.49,0.49,3834.0,0.0495,2024-06-11,2021
TOI-1468 b,3.211178045515406,1.2800677999999999,1.8805136,0.339,0.344,3496.0,0.0208,2022-08-23,2022
TOI-1468 c,6.641733601070973,2.0640252599999998,15.532482,0.339,0.344,3496.0,0.0849,2022-08-23,2022
TOI-1470 b,7.322121820615821,2.1801505,2.527093,0.471,0.469,3709.0,0.0285,2023-06-16,2023
TOI-1470 c,7.2426372155288075,2.4704636,18.08816,0.471,0.469,3709.0,0.106,2023-06-16,2023
TOI-1471 b,9.856091030789859,3.9007319999999996,20.772907,1.022,0.9662,5609.0,0.1438,2023-07-03,2023
TOI-1471 c,18.313253012048254,3.34297216,52.563491,1.022,0.9662,5609.0,0.2669,2023-07-17,2023
TOI-1472 b,16.501004016064314,4.159659899999999,6.36381,0.86,0.86,5100.0,0.065,2024-05-30,2024
TOI-1472 c,21.13654618473903,3.3301939,15.5381747,0.86,0.86,5100.0,0.116,2025-11-10,2025
TOI-1478 b,269.2938420348068,11.88154,10.180249,0.946,1.05,5595.0,0.0903,2021-01-07,2021
TOI-150 b,798.0254350736305,14.067294999999998,5.857487,1.249,1.551,6029.0,0.0643,2019-09-18,2019
TOI-1516 Ab,969.7121820615829,17.59813,2.05601399,1.1,1.35,6426.0,0.0322,2025-11-28,2022
TOI-1518 b,581.8273092369498,21.050501999999998,1.90261131,1.79,1.95,7300.0,0.03712,2025-05-19,2021
TOI-157 b,375.16733601071076,14.414774,2.0845435,0.948,1.167,5404.0,0.0318,2020-03-13,2020
TOI-1601 b,314.7590361445794,13.887951000000001,5.331751,1.517,2.186,5948.0,0.06864,2021-01-07,2021
TOI-1605 b,221.38052208835418,10.3403025,8.7099,0.989,1.593,5597.0,0.08258,2024-06-26,2024
TOI-1634 Ab,4.912148594377527,1.7900773,0.989343,0.502,0.45,3550.0,0.01545,2024-07-28,2021
TOI-163 b,387.8848728246332,16.690201000000002,4.231306,1.4352,1.648,6495.0,0.058,2019-09-18,2019
TOI-1648 b,7.407965194109798,2.5399594,7.331602,0.82,0.83,4836.0,0.0694,2025-11-12,2025
TOI-1670 b,13.798527443105804,2.0602142,10.98462,1.21,1.316,6170.0,0.103,2022-03-10,2022
TOI-1670 c,184.40428380187478,10.872729999999999,40.7750145,1.21,1.316,6170.0,0.249,2023-12-08,2022
TOI-1680 b,3.1825635876840805,1.46602511,4.8026,0.18,0.213,3224.0,0.03144,2023-07-12,2023
TOI-1685 b,3.0712851405622597,1.4201803,0.66813923,0.495,0.492,3434.0,0.01164,2025-02-13,2021
TOI-1691 b,14.593373493975955,2.9300326,16.7369,1.03,1.0,5760.0,0.126,2024-06-04,2024
TOI-1693 b,2.7978580990629283,1.4100921999999998,1.7666957,0.49,0.46,3499.0,0.0226,2022-01-30,2022
TOI-1695 b,5.7864792503346925,1.9055300000000002,3.1342788,0.54,0.53,3630.0,0.033548,2022-11-15,2022
TOI-1696 Ab,56.81559571619832,3.2405219,2.50031,0.255,0.2775,3185.0,0.0235,2025-07-21,2022
TOI-169 b,251.48929049531546,12.172974,2.2554477,1.147,1.288,5880.0,0.03524,2020-03-13,2020
TOI-1710 Ab,18.408634538152672,5.1505355,24.283385,0.984,0.968,5665.0,0.164,2024-07-30,2022
TOI-1728 b,26.789491298527537,5.0496545,3.49151,0.646,0.6243,3980.0,0.0391,2020-06-26,2020
TOI-172 Ab,1720.0468540830045,10.816685,9.47721,1.124,1.774,5644.0,0.0913,2024-07-29,2019
TOI-1736 Ab,12.304216867469922,3.1799933,7.073091,1.08,1.15,5807.0,0.073,2025-08-03,2019
TOI-1739 b,4.13319946452478,1.69502498,8.303342,0.79,0.751,4922.0,0.0742,2023-11-03,2023
TOI-1742 b,9.697121820615829,2.3695825999999998,21.269084,1.02,1.16,5707.0,0.154,2025-01-29,2024
TOI-1743 b,4.61010709504687,1.8304297,4.266046,0.339,0.338,3277.0,0.0359,2025-09-09,2025
